t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,C,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,sign_level,betastar,criticalvalue,Jump_indicator,hour,n_obs_sample,weekday,AJL_Jump_indicator
2019-04-25T23:04:57Z,2019-04-25,,btcusd,55189,8.55480491288725,5191.63997066459,5133.718520524,5,6.65324169108563,33.2662084554282,0.0625,0.0018917924079086,7.42883456625401e-05,1.48757826176475e-05,7.15777140100764e-06,3.44899258545437,0.259235368264045,0.0112193795030162,7.50318365962048,5.86510263929619e-07,14.3490753754757,7.16878042466437,1,23,1705,Thursday,1
2019-04-26T12:56:49Z,2019-04-26,,bchusd,9640,5.57680651125802,264.226452808853,279.360516741557,5,6.95970545353753,34.7985272676876,0.125,0.0114890419600461,0.00482313323346242,0.000452961784544888,0.000264238489217187,3.06955353781779,0.286344368958925,-0.0556966111250343,-6.90388295036952,2.23713646532438e-06,13.0103127550375,6.79498333361727,-1,12,447,Friday,1
2019-04-26T21:54:25Z,2019-04-26,,ltcusd,38902,4.29300595429862,73.1861323536246,71.722138948532,5,10.1043933727908,50.521966863954,0.111111111111111,0.0050613609952686,0.000851966356627492,8.30791324228479e-05,5.12407242955427e-05,3.24638214011369,0.273039390661654,0.020206482407235,7.04692847349575,1.21951219512195e-06,13.6170590094886,6.96437563466824,1,21,820,Friday,1
2019-04-28T01:40:03Z,2019-04-28,,etcusd,1223,1.7378311272025,5.685,5.551,34,1.5637495003996,53.1674830135864,0.0625,0.00281398792673467,1.82504856748044e-05,1.72805325134805e-05,1.58370569710134e-05,3.03769486057195,0.288880685013439,0.023853035494475,7.17544245154894,2.48756218905473e-06,12.9042061238355,6.76547076518017,1,1,402,Sunday,1
2019-04-28T14:04:46Z,2019-04-28,,etcusd,12814,1.74627383906692,5.7332,5.52,34,1.5637495003996,53.1674830135864,0.0625,0.00281398792673467,1.82504856748044e-05,1.72805325134805e-05,1.58370569710134e-05,3.03769486057195,0.288880685013439,0.0378959787779196,11.3998243506184,2.48756218905473e-06,12.9042061238355,6.76547076518017,1,14,402,Sunday,1
2019-04-29T12:26:45Z,2019-04-29,,ltcusd,16615,4.21257612612859,67.5302824476413,69.2890489642035,5,9.07921245292961,45.3960622646481,0.111111111111111,0.00531082187882911,0.00046831016537989,7.70626478339129e-05,5.64114631141806e-05,3.21590570885484,0.275243641618189,-0.0257107439756519,-8.82504176796054,1.35685210312076e-06,13.5103424927469,6.93454157606747,-1,12,737,Monday,1
2019-04-30T03:29:22Z,2019-04-30,,etcusd,3592,1.78860449753475,5.9811,5.703,35,1.60321941729758,56.1126796054154,0.0625,0.00321213965808466,3.87244538226304e-05,7.34400616667099e-05,2.06356862712454e-05,3.0450988114355,0.288287236980493,0.0476121453603517,7.03473458476452,2.42718446601942e-06,12.9287774147587,6.7723003298721,1,3,412,Tuesday,1
2019-04-30T11:09:55Z,2019-04-30,,etcusd,11111,1.80582672643949,6.085,5.805,35,1.60321941729758,56.1126796054154,0.0625,0.00321213965808466,3.87244538226304e-05,7.34400616667099e-05,2.06356862712454e-05,3.0450988114355,0.288287236980493,0.0471071112896357,6.96011537538294,2.42718446601942e-06,12.9287774147587,6.7723003298721,1,11,412,Tuesday,1
2019-04-30T21:40:48Z,2019-04-30,,ltcusd,37369,4.31506991262719,74.818854043748,73.0999842006658,5,10.0995049383621,50.4975246918104,0.111111111111111,0.00527317143338194,0.00109411063117437,9.67102430556433e-05,5.56225264261007e-05,3.24638214011369,0.273039390661654,0.0232417620046448,7.51074219685127,1.21951219512195e-06,13.6170590094886,6.96437563466824,1,21,820,Tuesday,1
2019-04-30T23:10:30Z,2019-04-30,,etcusd,22333,1.81921249600936,6.167,5.873,35,1.60321941729758,56.1126796054154,0.0625,0.00321213965808466,3.87244538226304e-05,7.34400616667099e-05,2.06356862712454e-05,3.0450988114355,0.288287236980493,0.0488469194689731,7.21717349946892,2.42718446601942e-06,12.9287774147587,6.7723003298721,1,23,412,Tuesday,1
2019-05-03T01:55:46Z,2019-05-03,,etcusd,2349,1.80896067654783,6.1041,5.829,30,1.73992636338438,52.1977909015315,0.0625,0.00335529040928221,0.000100866125262583,3.6443489402634e-05,2.25159739559695e-05,3.06955353781779,0.286344368958925,0.0461152174844173,10.0762682054485,2.23713646532438e-06,13.0103127550375,6.79498333361727,1,1,447,Friday,1
2019-05-03T02:00:04Z,2019-05-03,,etcusd,2402,1.76215899945176,5.825,6.1041,30,1.73992636338438,52.1977909015315,0.0625,0.00335529040928221,0.000100866125262583,3.6443489402634e-05,2.25159739559695e-05,3.06955353781779,0.286344368958925,-0.0468016770960655,-10.2262610177238,2.23713646532438e-06,13.0103127550375,6.79498333361727,-1,2,447,Friday,1
