t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,Xihat,sign_level,betastar,Jump_indicator
2019-04-17T00:29:21Z,2019-04-17,okex,btcusd,1762,8.55732692492786,5204.74987389922,5207.54999015863,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000537847807587255,-1.28102115778878,-0.56317426917959,0.1,2.25036732731245,0
2019-04-17T00:30:10Z,2019-04-17,okex,btcusd,1811,8.55667827232997,5201.37489408516,5204.74987389922,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000648652597897481,-1.54493090840857,-0.494925932434434,0.1,2.25036732731245,0
2019-04-17T00:30:59Z,2019-04-17,okex,btcusd,1860,8.55574539932259,5196.52493439518,5201.37489408516,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000932873007377211,-2.2218740006417,-0.319865177735018,0.1,2.25036732731245,0
2019-04-17T00:31:47Z,2019-04-17,okex,btcusd,1908,8.556038833453,5198.04999591204,5196.52493439518,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000293434130405501,0.698887908743253,-0.71371674030128,0.1,2.25036732731245,0
2019-04-17T00:32:36Z,2019-04-17,okex,btcusd,1957,8.55695220281183,5202.79990438423,5198.04999591204,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000913369358837457,2.17542110805563,-0.331878120222193,0.1,2.25036732731245,0
2019-04-17T00:33:25Z,2019-04-17,okex,btcusd,2006,8.55752386319415,5205.77498925477,5202.79990438423,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000571660382322037,1.36155439232752,-0.542347985584275,0.1,2.25036732731245,0
2019-04-17T00:34:14Z,2019-04-17,okex,btcusd,2055,8.55734615771458,5204.84997670608,5205.77498925477,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000177705479574186,-0.423250733717278,-0.784997845665813,0.1,2.25036732731245,0
2019-04-17T00:35:03Z,2019-04-17,okex,btcusd,2104,8.55744222103964,5205.34999591766,5204.84997670608,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,9.60633250617349e-05,0.228799207053866,-0.835283950067669,0.1,2.25036732731245,0
2019-04-17T00:35:52Z,2019-04-17,okex,btcusd,2153,8.55736537351698,5204.9499930357,5205.34999591766,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-7.68475226617937e-05,-0.183031893157695,-0.847119598592863,0.1,2.25036732731245,0
2019-04-17T00:36:41Z,2019-04-17,okex,btcusd,2202,8.55713959752075,5203.77497291637,5204.9499930357,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.00022577599622764,-0.537742878205423,-0.755389623865174,0.1,2.25036732731245,0
2019-04-17T00:37:30Z,2019-04-17,okex,btcusd,2251,8.55684649862805,5202.24997573232,5203.77497291637,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000293098892706567,-0.698089455018677,-0.713923224292654,0.1,2.25036732731245,0
2019-04-17T00:38:19Z,2019-04-17,okex,btcusd,2300,8.55607246476833,5198.22481611026,5202.24997573232,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000774033859720191,-1.84355822810642,-0.417699464567375,0.1,2.25036732731245,0
2019-04-17T00:39:08Z,2019-04-17,okex,btcusd,2349,8.55588489941574,5197.24990067284,5198.22481611026,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000187565352586461,-0.446734525532838,-0.778924823626584,0.1,2.25036732731245,0
2019-04-17T00:39:57Z,2019-04-17,okex,btcusd,2398,8.55614460027549,5198.59980621863,5197.24990067284,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.00025970085975402,0.618543557020758,-0.734494177887617,0.1,2.25036732731245,0
2019-04-17T00:40:46Z,2019-04-17,okex,btcusd,2447,8.5569473720687,5202.77477105504,5198.59980621863,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000802771793209089,1.91200491564717,-0.399998820428985,0.1,2.25036732731245,0
2019-04-17T00:41:35Z,2019-04-17,okex,btcusd,2496,8.55704831451547,5203.29997837782,5202.77477105504,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000100942446767505,0.240420074608492,-0.832278737565,0.1,2.25036732731245,0
2019-04-17T00:42:23Z,2019-04-17,okex,btcusd,2544,8.55685130516483,5202.27498059828,5203.29997837782,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000197009350639377,-0.469227805507655,-0.77310795273561,0.1,2.25036732731245,0
2019-04-17T00:43:12Z,2019-04-17,okex,btcusd,2593,8.55664945371406,5201.22499981975,5202.27498059828,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000201851450775337,-0.480760496790942,-0.770125543042784,0.1,2.25036732731245,0
