t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,C,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,sign_level,betastar,criticalvalue,Jump_indicator
2019-04-22T15:18:54Z,2019-04-22,,etcusd,15081,1.77183899419962,5.88165976006773,5.88349827908533,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000312536223728177,-0.478305939061929,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:20:35Z,2019-04-22,,etcusd,15106,1.77239734025761,5.8849446785845,5.88165976006773,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000558346057986769,0.85449370444547,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:22:28Z,2019-04-22,,etcusd,15132,1.77257651992238,5.88599923547396,5.8849446785845,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00017917966477099,0.27421684692021,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:23:54Z,2019-04-22,,etcusd,15158,1.77287392038456,5.88774999469237,5.88599923547396,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000297400462179631,0.455142145263771,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:25:27Z,2019-04-22,,etcusd,15184,1.77198183800706,5.88249997875053,5.88774999469237,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000892082377494941,-1.36524430415919,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:27:42Z,2019-04-22,,etcusd,15209,1.77165879231595,5.88059996939088,5.88249997875053,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000323045691110746,-0.494389644833687,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:29:31Z,2019-04-22,,etcusd,15235,1.77232177172572,5.88449997875775,5.88059996939088,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000662979409765452,1.01462475416093,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:32:58Z,2019-04-22,,etcusd,15261,1.77274651561893,5.8869999150671,5.88449997875775,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000424743893212565,0.650028736766681,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:35:34Z,2019-04-22,,etcusd,15287,1.77215181931075,5.88349997875414,5.8869999150671,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,-0.000594696308173326,-0.910124185748458,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:36:35Z,2019-04-22,,etcusd,15313,1.77359549860038,5.892,5.88349997875414,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00144367928962907,2.20940910494542,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:37:43Z,2019-04-22,,etcusd,15338,1.77495235091167,5.9,5.892,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.0013568523112899,2.07652895775791,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:39:11Z,2019-04-22,,etcusd,15364,1.77537598638965,5.90249997882253,5.9,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000423635477976081,0.648332416307462,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:39:56Z,2019-04-22,,etcusd,15390,1.77667120146443,5.91014993887634,5.90249997882253,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00129521507478136,1.98219923194975,0.01,4.60014922677658,4.52638142185435,0
2019-04-22T15:40:48Z,2019-04-22,,etcusd,15416,1.77758024694986,5.91552497670325,5.91014993887634,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.000909045485425253,1.39120467179668,0.01,4.60014922677658,4.52638142185435,0
