id,t,s,p,q,date
bitstamp,2020-08-14T05:32:35.876Z,bchusd,292.13,1.79747886,2020-08-14
bitstamp,2020-08-14T05:32:49.746Z,bchusd,292,5.15176236,2020-08-14
bitstamp,2020-08-14T05:32:49.927Z,bchusd,292,8.57,2020-08-14
bitstamp,2020-08-14T05:32:50.019Z,bchusd,292,8.571,2020-08-14
bitstamp,2020-08-14T05:32:50.169Z,bchusd,292,8.571,2020-08-14
bitstamp,2020-08-14T05:32:50.315Z,bchusd,292,8.571,2020-08-14
bitstamp,2020-08-14T05:32:50.392Z,bchusd,292,0.49377217,2020-08-14
bitstamp,2020-08-14T05:32:50.444Z,bchusd,292,2.10945,2020-08-14
bitstamp,2020-08-14T05:32:50.452Z,bchusd,292,5.15,2020-08-14
bitstamp,2020-08-14T05:32:50.545Z,bchusd,292,8.70665317,2020-08-14
bitstamp,2020-08-14T05:32:50.554Z,bchusd,292,1.84865338,2020-08-14
bitstamp,2020-08-14T05:32:50.565Z,bchusd,292,8.572,2020-08-14
bitstamp,2020-08-14T05:32:50.702Z,bchusd,292,8.572,2020-08-14
bitstamp,2020-08-14T05:32:50.805Z,bchusd,292,2.3297,2020-08-14
bitstamp,2020-08-14T05:32:50.812Z,bchusd,292,8.573,2020-08-14
bitstamp,2020-08-14T05:32:50.877Z,bchusd,292,5.15361726,2020-08-14
bitstamp,2020-08-14T05:32:50.974Z,bchusd,292,0.68708473,2020-08-14
bitstamp,2020-08-14T05:32:51.144Z,bchusd,292,1.1648,2020-08-14
bitstamp,2020-08-14T05:32:51.223Z,bchusd,292,0.53470012,2020-08-14
bitstamp,2020-08-14T05:32:51.256Z,bchusd,292,4.48,2020-08-14
bitstamp,2020-08-14T05:32:51.298Z,bchusd,292,2.83846,2020-08-14
bitstamp,2020-08-14T05:32:51.528Z,bchusd,292,8.7519509,2020-08-14
bitstamp,2020-08-14T05:32:51.559Z,bchusd,292,1.8276901,2020-08-14
bitstamp,2020-08-14T05:32:51.759Z,bchusd,292,5.01799226,2020-08-14
bitstamp,2020-08-14T05:32:51.887Z,bchusd,292,1.06448004,2020-08-14
bitstamp,2020-08-14T05:37:32.319Z,bchusd,292.04,2.59522916,2020-08-14
bitstamp,2020-08-14T05:40:14.585Z,bchusd,292.05,18,2020-08-14
bitstamp,2020-08-14T05:40:14.585Z,bchusd,292.06,2,2020-08-14
bitstamp,2020-08-14T05:41:27.349Z,bchusd,291.76,1.68590029,2020-08-14
bitstamp,2020-08-14T05:43:29.181Z,bchusd,291.22,1.688,2020-08-14
bitstamp,2020-08-14T05:44:50.739Z,bchusd,291.83,1,2020-08-14
bitstamp,2020-08-14T05:53:13.724Z,bchusd,292.83,0.612,2020-08-14
bitstamp,2020-08-14T06:02:41.761Z,bchusd,291.34,0.16461,2020-08-14
bitstamp,2020-08-14T06:06:24.398Z,bchusd,290.91,0.4,2020-08-14
bitstamp,2020-08-14T06:06:24.556Z,bchusd,290.91,1.79747886,2020-08-14
bitstamp,2020-08-14T06:07:17.405Z,bchusd,291.35,4,2020-08-14
bitstamp,2020-08-14T06:07:17.405Z,bchusd,291.33,14.8388317,2020-08-14
bitstamp,2020-08-14T06:10:52.922Z,bchusd,291.45,0.4,2020-08-14
bitstamp,2020-08-14T06:11:57.394Z,bchusd,291.65,1.99632337,2020-08-14
bitstamp,2020-08-14T06:16:02.252Z,bchusd,291.71,4.92026074,2020-08-14
bitstamp,2020-08-14T06:18:22.732Z,bchusd,291.89,0.82712665,2020-08-14
bitstamp,2020-08-14T06:18:41.934Z,bchusd,291.89,2.7712837,2020-08-14
bitstamp,2020-08-14T06:21:17.582Z,bchusd,292.41,1.92001107,2020-08-14
bitstamp,2020-08-14T06:25:22.386Z,bchusd,292.43,3.56333584,2020-08-14
bitstamp,2020-08-14T06:27:12.356Z,bchusd,292.27,10.13,2020-08-14
bitstamp,2020-08-14T06:34:24.305Z,bchusd,292.21,1.309,2020-08-14
bitstamp,2020-08-14T06:34:30.532Z,bchusd,292.21,0.02630679,2020-08-14
bitstamp,2020-08-14T06:35:07.937Z,bchusd,292.47,0.18556547,2020-08-14
bitstamp,2020-08-14T06:46:47.745Z,bchusd,291.74,0.219,2020-08-14
bitstamp,2020-08-14T06:46:48.027Z,bchusd,291.74,1e-05,2020-08-14
bitstamp,2020-08-14T06:51:44.053Z,bchusd,293.03,0.7301,2020-08-14
bitstamp,2020-08-14T07:01:07.320Z,bchusd,291.87,7.13123994,2020-08-14
bitstamp,2020-08-14T07:02:12.984Z,bchusd,291.88,1.24,2020-08-14
bitstamp,2020-08-14T07:02:12.993Z,bchusd,291.88,9.86,2020-08-14
bitstamp,2020-08-14T07:02:19.280Z,bchusd,291.45,18,2020-08-14
bitstamp,2020-08-14T07:04:10.658Z,bchusd,291.32,1.309,2020-08-14
bitstamp,2020-08-14T07:04:11.338Z,bchusd,291.32,0.02630679,2020-08-14
bitstamp,2020-08-14T07:06:06.635Z,bchusd,289.42,4.51,2020-08-14
bitstamp,2020-08-14T07:06:07.058Z,bchusd,289.17,13.4779153,2020-08-14
bitstamp,2020-08-14T07:07:12.188Z,bchusd,289.65,0.10354825,2020-08-14
bitstamp,2020-08-14T07:07:37.531Z,bchusd,289.19,11.92225236,2020-08-14
bitstamp,2020-08-14T07:07:37.646Z,bchusd,289.19,3.07774764,2020-08-14
bitstamp,2020-08-14T07:08:11.987Z,bchusd,289.72,0.14921,2020-08-14
bitstamp,2020-08-14T07:08:20.775Z,bchusd,289.73,2.94,2020-08-14
bitstamp,2020-08-14T07:08:21.079Z,bchusd,289.71,0.2092585,2020-08-14
bitstamp,2020-08-14T07:08:22.070Z,bchusd,289.36,4.02743201,2020-08-14
bitstamp,2020-08-14T07:08:22.073Z,bchusd,289.36,3.85597589,2020-08-14
bitstamp,2020-08-14T07:08:22.076Z,bchusd,289.36,0.9609062,2020-08-14
bitstamp,2020-08-14T07:08:22.143Z,bchusd,289.36,1.17457758,2020-08-14
bitstamp,2020-08-14T07:08:22.144Z,bchusd,289.36,0.85951348,2020-08-14
bitstamp,2020-08-14T07:08:22.145Z,bchusd,289.36,0.22297573,2020-08-14
bitstamp,2020-08-14T07:08:25.993Z,bchusd,289.36,2.004,2020-08-14
bitstamp,2020-08-14T07:16:18.919Z,bchusd,291.94,5,2020-08-14
bitstamp,2020-08-14T07:16:22.163Z,bchusd,292.06,18,2020-08-14
bitstamp,2020-08-14T07:16:24.008Z,bchusd,292.35,1.76079995,2020-08-14
bitstamp,2020-08-14T07:16:36.358Z,bchusd,291.79,0.10281014,2020-08-14
bitstamp,2020-08-14T07:20:50.188Z,bchusd,292.02,2.3,2020-08-14
bitstamp,2020-08-14T07:20:50.499Z,bchusd,292.02,1.77992603,2020-08-14
bitstamp,2020-08-14T07:20:50.499Z,bchusd,292,1.55488405,2020-08-14
bitstamp,2020-08-14T07:20:50.686Z,bchusd,292,1.74922577,2020-08-14
bitstamp,2020-08-14T07:20:50.745Z,bchusd,292,0.89947999,2020-08-14
bitstamp,2020-08-14T07:21:27.129Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.520Z,bchusd,291.89,0.4,2020-08-14
bitstamp,2020-08-14T07:21:28.520Z,bchusd,291.89,0.4,2020-08-14
