s,date,open,high,low,close,log_ret,diff_date
bchusd,2019-09-18,318.22,333.93,318.14,323.86,0.0176940632682311,1
bchusd,2019-09-19,324.11,325.86,301.73,323.79,-0.000216166139960029,1
bchusd,2019-09-20,323.92,326.54,305.54,315.75,-0.0251443962747642,1
bchusd,2019-09-21,315.58,319,309.11,311.69,-0.0129416571022051,1
bchusd,2019-09-22,311.6,312.91,302.14,306.75,-0.0159760205373746,1
bchusd,2019-09-23,306.76,308.94,290.14,291.92,-0.0495532914628285,1
bchusd,2019-09-24,291.95,293.48,208.02,220.44,-0.280854243113158,1
bchusd,2019-09-25,219.75,248.58,214.79,227.9,0.0332813872366039,1
bchusd,2019-09-26,227.86,228.56,201.66,214.11,-0.0624170346005529,1
bchusd,2019-09-27,215.11,224,208.05,220.65,0.0300878340644706,1
bchusd,2019-09-28,220.63,231.37,217.8,227.7,0.0314512373541377,1
bchusd,2019-09-29,227.63,228.26,211.83,218.17,-0.042754397665761,1
bchusd,2019-09-30,218.24,232,212.26,227.65,0.0425347863768582,1
bchusd,2019-10-01,227.71,237.47,219.11,223.73,-0.0173693940958063,1
bchusd,2019-10-02,223.71,226.69,220.4,225.42,0.00752536112894781,1
bchusd,2019-10-03,225.54,226.26,216.08,222.64,-0.0124092115962972,1
bchusd,2019-10-04,222.64,226.01,217.93,221.76,-0.00396040121609691,1
bchusd,2019-10-05,221.77,224.23,218.31,223.31,0.00696522464525742,1
bchusd,2019-10-06,223.49,224.05,214.97,220.47,-0.0127993094379063,1
bchusd,2019-10-07,220.52,239.27,218.78,232.97,0.0551480587023207,1
bchusd,2019-10-08,233.74,240.32,227.27,231.54,-0.00615704513362774,1
bchusd,2019-10-09,231.54,242.92,228.27,239.16,0.0323801392351213,1
bchusd,2019-10-10,238.97,240.51,229.21,230.31,-0.0377065565047868,1
bchusd,2019-10-11,230.8,236.26,219.1,221.07,-0.0409468340608992,1
bchusd,2019-10-12,221.06,228.98,220.88,224.52,0.015485396626981,1
bchusd,2019-10-13,224.3,229.16,220.12,223.23,-0.00576215999671911,1
bchusd,2019-10-14,223.23,231,222.68,228.03,0.0212745691687792,1
bchusd,2019-10-15,228.04,229.39,217.07,222.38,-0.0250895689709556,1
